0 42
2 51
4 59
6 64
8 76
10 93
12 106
14 125
16 149
18 171
20 199
21 205
0 40
2 49
4 58
6 72
8 84
10 103
12 122
14 138
16 162
18 187
20 209
21 215
0 43
2 39
4 55
6 67
8 84
10 99
12 115
14 138
16 163
18 187
20 198
21 202
0 42
2 49
4 56
6 67
8 74
10 87
12 102
14 108
16 136
18 154
20 160
21 157
0 41
2 42
4 48
6 60
8 79
10 106
12 141
14 164
16 197
18 199
20 220
21 223
0 41
2 49
4 59
6 74
8 97
10 124
12 141
14 148
16 155
18 160
20 160
21 157
0 41
2 49
4 57
6 71
8 89
10 112
12 146
14 174
16 218
18 250
20 288
21 305
0 42
2 50
4 61
6 71
8 84
10 93
12 110
14 116
16 126
18 134
20 125
0 42
2 51
4 59
6 68
8 85
10 96
12 90
14 92
16 93
18 100
20 100
21 98
0 41
2 44
4 52
6 63
8 74
10 81
12 89
14 96
16 101
18 112
20 120
21 124
0 43
2 51
4 63
6 84
8 112
10 139
12 168
14 177
16 182
18 184
20 181
21 175
0 41
2 49
4 56
6 62
8 72
10 88
12 119
14 135
16 162
18 185
20 195
21 205
0 41
2 48
4 53
6 60
8 65
10 67
12 71
14 70
16 71
18 81
20 91
21 96
0 41
2 49
4 62
6 79
8 101
10 128
12 164
14 192
16 227
18 248
20 259
21 266
0 41
2 49
4 56
6 64
8 68
10 68
12 67
14 68
0 41
2 45
4 49
6 51
8 57
10 51
12 54
0 42
2 51
4 61
6 72
8 83
10 89
12 98
14 103
16 113
18 123
20 133
21 142
0 39
2 35
0 43
2 48
4 55
6 62
8 65
10 71
12 82
14 88
16 106
18 120
20 144
21 157
0 41
2 47
4 54
6 58
8 65
10 73
12 77
14 89
16 98
18 107
20 115
21 117
0 40
2 50
4 62
6 86
8 125
10 163
12 217
14 240
16 275
18 307
20 318
21 331
0 41
2 55
4 64
6 77
8 90
10 95
12 108
14 111
16 131
18 148
20 164
21 167
0 43
2 52
4 61
6 73
8 90
10 103
12 127
14 135
16 145
18 163
20 170
21 175
0 42
2 52
4 58
6 74
8 66
10 68
12 70
14 71
16 72
18 72
20 76
21 74
0 40
2 49
4 62
6 78
8 102
10 124
12 146
14 164
16 197
18 231
20 259
21 265
0 42
2 48
4 57
6 74
8 93
10 114
12 136
14 147
16 169
18 205
20 236
21 251
0 39
2 46
4 58
6 73
8 87
10 100
12 115
14 123
16 144
18 163
20 185
21 192
0 39
2 46
4 58
6 73
8 92
10 114
12 145
14 156
16 184
18 207
20 212
21 233
0 39
2 48
4 59
6 74
8 87
10 106
12 134
14 150
16 187
18 230
20 279
21 309
0 42
2 48
4 59
6 72
8 85
10 98
12 115
14 122
16 143
18 151
20 157
21 150
0 42
2 53
4 62
6 73
8 85
10 102
12 123
14 138
16 170
18 204
20 235
21 256
0 41
2 49
4 65
6 82
8 107
10 129
12 159
14 179
16 221
18 263
20 291
21 305
0 39
2 50
4 63
6 77
8 96
10 111
12 137
14 144
16 151
18 146
20 156
21 147
0 41
2 49
4 63
6 85
8 107
10 134
12 164
14 186
16 235
18 294
20 327
21 341
0 41
2 53
4 64
6 87
8 123
10 158
12 201
14 238
16 287
18 332
20 361
21 373
0 39
2 48
4 61
6 76
8 98
10 116
12 145
14 166
16 198
18 227
20 225
21 220
0 41
2 48
4 56
6 68
8 80
10 83
12 103
14 112
16 135
18 157
20 169
21 178
0 41
2 49
4 61
6 74
8 98
10 109
12 128
14 154
16 192
18 232
20 280
21 290
0 42
2 50
4 61
6 78
8 89
10 109
12 130
14 146
16 170
18 214
20 250
21 272
0 41
2 55
4 66
6 79
8 101
10 120
12 154
14 182
16 215
18 262
20 295
21 321
0 42
2 51
4 66
6 85
8 103
10 124
12 155
14 153
16 175
18 184
20 199
21 204
0 42
2 49
4 63
6 84
8 103
10 126
12 160
14 174
16 204
18 234
20 269
21 281
0 42
2 55
4 69
6 96
8 131
10 157
12 184
14 188
16 197
18 198
20 199
21 200
0 42
2 51
4 65
6 86
8 103
10 118
12 127
14 138
16 145
18 146
0 41
2 50
4 61
6 78
8 98
10 117
12 135
14 141
16 147
18 174
20 197
21 196
0 40
2 52
4 62
6 82
8 101
10 120
12 144
14 156
16 173
18 210
20 231
21 238
0 41
2 53
4 66
6 79
8 100
10 123
12 148
14 157
16 168
18 185
20 210
21 205
0 39
2 50
4 62
6 80
8 104
10 125
12 154
14 170
16 222
18 261
20 303
21 322
0 40
2 53
4 64
6 85
8 108
10 128
12 152
14 166
16 184
18 203
20 233
21 237
0 41
2 54
4 67
6 84
8 105
10 122
12 155
14 175
16 205
18 234
20 264
21 264
